cohort	case_id	repository	url	revision	language	mode	selection	max_sources	license
poor-cxx	cwe789-uncontrolled-allocation	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE789_Uncontrolled_Mem_Alloc/s01/CWE789_Uncontrolled_Mem_Alloc__malloc_char_connect_socket_33.cpp	1	LICENSE
poor-cxx	cwe843-type-confusion	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE843_Type_Confusion/CWE843_Type_Confusion__char_33.cpp	1	LICENSE
poor-cxx	cwe78-command-injection	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE78_OS_Command_Injection/s01/CWE78_OS_Command_Injection__char_connect_socket_execl_33.cpp	1	LICENSE
ioccc	ioccc-1988-applin	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	1988/applin/applin.alt.c	1	LICENSE
ioccc	ioccc-1990-dg	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	1990/dg/dg.c	1	LICENSE
ioccc	ioccc-1992-buzzard	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	1992/buzzard.1/buzzard.1.c	1	LICENSE
ioccc	ioccc-1992-lush	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	1992/lush/lush.c	1	LICENSE
ioccc	ioccc-1994-dodsond1	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	1994/dodsond1/dodsond1.c	1	LICENSE
ioccc	ioccc-1996-schweikh1	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	1996/schweikh1/schweikh1.c	1	LICENSE
ioccc	ioccc-2004-vik2	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	2004/vik2/vik2.c	1	LICENSE
ioccc	ioccc-2005-anon	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	2005/anon/anon.c	1	LICENSE
ioccc	ioccc-2015-muth	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	2015/muth/prog.c	1	LICENSE
ioccc	ioccc-2018-giles	ioccc-winner	https://github.com/ioccc-src/winner.git	b07f28c8c479bc9f37ba1e559c3ba5c450a422ba	c	exact	2018/giles/prog.c	1	LICENSE
