wrapper_usr	function	domain
c:@F@p101_cabs	p101_cabs	c/complex-components
c:@F@p101_cabsf	p101_cabsf	c/complex-components
c:@F@p101_cabsl	p101_cabsl	c/complex-components
c:@F@p101_cacos	p101_cacos	c/complex-trig
c:@F@p101_cacosf	p101_cacosf	c/complex-trig
c:@F@p101_cacosh	p101_cacosh	c/complex-trig
c:@F@p101_cacoshf	p101_cacoshf	c/complex-trig
c:@F@p101_cacoshl	p101_cacoshl	c/complex-trig
c:@F@p101_cacosl	p101_cacosl	c/complex-trig
c:@F@p101_calloc	p101_calloc	c/stdlib
c:@F@p101_carg	p101_carg	c/complex-components
c:@F@p101_cargf	p101_cargf	c/complex-components
c:@F@p101_cargl	p101_cargl	c/complex-components
c:@F@p101_casin	p101_casin	c/complex-trig
c:@F@p101_casinf	p101_casinf	c/complex-trig
c:@F@p101_casinh	p101_casinh	c/complex-trig
c:@F@p101_casinhf	p101_casinhf	c/complex-trig
c:@F@p101_casinhl	p101_casinhl	c/complex-trig
c:@F@p101_casinl	p101_casinl	c/complex-trig
c:@F@p101_catan	p101_catan	c/complex-trig
c:@F@p101_catanf	p101_catanf	c/complex-trig
c:@F@p101_catanh	p101_catanh	c/complex-trig
c:@F@p101_catanhf	p101_catanhf	c/complex-trig
c:@F@p101_catanhl	p101_catanhl	c/complex-trig
c:@F@p101_catanl	p101_catanl	c/complex-trig
c:@F@p101_catclose	p101_catclose	systems/localization-conversion
c:@F@p101_catgets	p101_catgets	systems/localization-conversion
c:@F@p101_catopen	p101_catopen	systems/localization-conversion
c:@F@p101_cbrt	p101_cbrt	c/math-exp-log-power
c:@F@p101_cbrtf	p101_cbrtf	c/math-exp-log-power
c:@F@p101_cbrtl	p101_cbrtl	c/math-exp-log-power
c:@F@p101_ccos	p101_ccos	c/complex-trig
c:@F@p101_ccosf	p101_ccosf	c/complex-trig
c:@F@p101_ccosh	p101_ccosh	c/complex-trig
c:@F@p101_ccoshf	p101_ccoshf	c/complex-trig
c:@F@p101_ceil	p101_ceil	c/math-rounding-remainder
c:@F@p101_ceilf	p101_ceilf	c/math-rounding-remainder
c:@F@p101_ceill	p101_ceill	c/math-rounding-remainder
c:@F@p101_cexp	p101_cexp	c/complex-exp-log-power
c:@F@p101_cexpf	p101_cexpf	c/complex-exp-log-power
c:@F@p101_cexpl	p101_cexpl	c/complex-exp-log-power
c:@F@p101_cfgetispeed	p101_cfgetispeed	systems/users-terminals
c:@F@p101_cfgetospeed	p101_cfgetospeed	systems/users-terminals
c:@F@p101_cfmakeraw	p101_cfmakeraw	systems/users-terminals
c:@F@p101_cfsetispeed	p101_cfsetispeed	systems/users-terminals
c:@F@p101_cfsetospeed	p101_cfsetospeed	systems/users-terminals
c:@F@p101_cfsetspeed	p101_cfsetspeed	systems/users-terminals
c:@F@p101_chdir	p101_chdir	systems/filesystem-paths
c:@F@p101_chmod	p101_chmod	systems/filesystem-paths
c:@F@p101_chown	p101_chown	systems/filesystem-paths
c:@F@p101_cimag	p101_cimag	c/complex-components
c:@F@p101_cimagf	p101_cimagf	c/complex-components
c:@F@p101_cimagl	p101_cimagl	c/complex-components
c:@F@p101_clearerr	p101_clearerr	c/stdio-state-buffering
c:@F@p101_clock	p101_clock	c/time
c:@F@p101_clock_getres	p101_clock_getres	systems/resource-time-memory
c:@F@p101_clock_gettime	p101_clock_gettime	systems/resource-time-memory
c:@F@p101_clock_settime	p101_clock_settime	systems/resource-time-memory
c:@F@p101_clog	p101_clog	c/complex-exp-log-power
c:@F@p101_clogf	p101_clogf	c/complex-exp-log-power
c:@F@p101_clogl	p101_clogl	c/complex-exp-log-power
c:@F@p101_close	p101_close	systems/fd-io
c:@F@p101_closedir	p101_closedir	systems/directories-patterns
c:@F@p101_closelog	p101_closelog	systems/logging-diagnostics
c:@F@p101_confstr	p101_confstr	systems/platform-admin
c:@F@p101_conj	p101_conj	c/complex-components
c:@F@p101_conjf	p101_conjf	c/complex-components
c:@F@p101_conjl	p101_conjl	c/complex-components
c:@F@p101_connect	p101_connect	network/sockets
c:@F@p101_convert_address	p101_convert_address	network/conversion
c:@F@p101_copysign	p101_copysign	c/math-floating
c:@F@p101_copysignf	p101_copysignf	c/math-floating
c:@F@p101_copysignl	p101_copysignl	c/math-floating
c:@F@p101_cos	p101_cos	c/math-trig
c:@F@p101_cosf	p101_cosf	c/math-trig
c:@F@p101_cosh	p101_cosh	c/math-trig
c:@F@p101_coshf	p101_coshf	c/math-trig
c:@F@p101_coshl	p101_coshl	c/math-trig
c:@F@p101_cosl	p101_cosl	c/math-trig
c:@F@p101_cpow	p101_cpow	c/complex-exp-log-power
c:@F@p101_cpowf	p101_cpowf	c/complex-exp-log-power
c:@F@p101_cpowl	p101_cpowl	c/complex-exp-log-power
c:@F@p101_cproj	p101_cproj	c/complex-components
c:@F@p101_cprojf	p101_cprojf	c/complex-components
c:@F@p101_cprojl	p101_cprojl	c/complex-components
c:@F@p101_creal	p101_creal	c/complex-components
c:@F@p101_crealf	p101_crealf	c/complex-components
c:@F@p101_creall	p101_creall	c/complex-components
c:@F@p101_creat	p101_creat	systems/fd-io
c:@F@p101_crypt	p101_crypt	systems/users-terminals
c:@F@p101_csin	p101_csin	c/complex-trig
c:@F@p101_csinf	p101_csinf	c/complex-trig
c:@F@p101_csinh	p101_csinh	c/complex-trig
c:@F@p101_csinhf	p101_csinhf	c/complex-trig
c:@F@p101_csqrt	p101_csqrt	c/complex-exp-log-power
c:@F@p101_csqrtf	p101_csqrtf	c/complex-exp-log-power
c:@F@p101_csqrtl	p101_csqrtl	c/complex-exp-log-power
c:@F@p101_ctan	p101_ctan	c/complex-trig
c:@F@p101_ctanf	p101_ctanf	c/complex-trig
c:@F@p101_ctanh	p101_ctanh	c/complex-trig
c:@F@p101_ctanhf	p101_ctanhf	c/complex-trig
c:@F@p101_dbm_clearerr	p101_dbm_clearerr	systems/legacy-database
c:@F@p101_dbm_close	p101_dbm_close	systems/legacy-database
c:@F@p101_dbm_delete	p101_dbm_delete	systems/legacy-database
c:@F@p101_dbm_error	p101_dbm_error	systems/legacy-database
c:@F@p101_dbm_fetch	p101_dbm_fetch	systems/legacy-database
c:@F@p101_dbm_firstkey	p101_dbm_firstkey	systems/legacy-database
c:@F@p101_dbm_nextkey	p101_dbm_nextkey	systems/legacy-database
c:@F@p101_dbm_open	p101_dbm_open	systems/legacy-database
c:@F@p101_dbm_store	p101_dbm_store	systems/legacy-database
c:@F@p101_difftime	p101_difftime	c/time
c:@F@p101_dirfd	p101_dirfd	systems/directories-patterns
c:@F@p101_dirname	p101_dirname	systems/directories-patterns
c:@F@p101_div	p101_div	c/stdlib
c:@F@p101_dlclose	p101_dlclose	systems/dynamic-loading
c:@F@p101_dlerror	p101_dlerror	systems/dynamic-loading
c:@F@p101_dlopen	p101_dlopen	systems/dynamic-loading
c:@F@p101_dlsym	p101_dlsym	systems/dynamic-loading
c:@F@p101_dup	p101_dup	systems/fd-io
c:@F@p101_dup2	p101_dup2	systems/fd-io
c:@F@p101_duplocale	p101_duplocale	systems/localization-conversion
c:@F@p101_endhostent	p101_endhostent	network/name-resolution
c:@F@p101_endnetent	p101_endnetent	network/name-resolution
c:@F@p101_endprotoent	p101_endprotoent	network/name-resolution
c:@F@p101_endservent	p101_endservent	network/name-resolution
c:@F@p101_endusershell	p101_endusershell	systems/users-terminals
c:@F@p101_endutxent	p101_endutxent	systems/users-terminals
c:@F@p101_erf	p101_erf	c/math-exp-log-power
c:@F@p101_erfc	p101_erfc	c/math-exp-log-power
c:@F@p101_erfcf	p101_erfcf	c/math-exp-log-power
c:@F@p101_erfcl	p101_erfcl	c/math-exp-log-power
c:@F@p101_erff	p101_erff	c/math-exp-log-power
c:@F@p101_erfl	p101_erfl	c/math-exp-log-power
c:@F@p101_ether_aton	p101_ether_aton	network/ethernet
c:@F@p101_ether_hostton	p101_ether_hostton	network/ethernet
c:@F@p101_ether_line	p101_ether_line	network/ethernet
c:@F@p101_ether_ntoa	p101_ether_ntoa	network/ethernet
c:@F@p101_ether_ntohost	p101_ether_ntohost	network/ethernet
c:@F@p101_execv	p101_execv	systems/process-signal
c:@F@p101_execve	p101_execve	systems/process-signal
c:@F@p101_execvp	p101_execvp	systems/process-signal
c:@F@p101_exp	p101_exp	c/math-exp-log-power
c:@F@p101_exp2	p101_exp2	c/math-exp-log-power
c:@F@p101_exp2f	p101_exp2f	c/math-exp-log-power
c:@F@p101_exp2l	p101_exp2l	c/math-exp-log-power
c:@F@p101_expf	p101_expf	c/math-exp-log-power
c:@F@p101_expl	p101_expl	c/math-exp-log-power
c:@F@p101_expm1	p101_expm1	c/math-exp-log-power
c:@F@p101_expm1f	p101_expm1f	c/math-exp-log-power
c:@F@p101_expm1l	p101_expm1l	c/math-exp-log-power
c:@F@p101_fabs	p101_fabs	c/math-floating
c:@F@p101_fabsf	p101_fabsf	c/math-floating
c:@F@p101_fabsl	p101_fabsl	c/math-floating
c:@F@p101_faccessat	p101_faccessat	systems/filesystem-paths
c:@F@p101_fchdir	p101_fchdir	systems/filesystem-paths
c:@F@p101_fchmod	p101_fchmod	systems/filesystem-paths
c:@F@p101_fchmodat	p101_fchmodat	systems/filesystem-paths
c:@F@p101_fchown	p101_fchown	systems/filesystem-paths
c:@F@p101_fchownat	p101_fchownat	systems/filesystem-paths
c:@F@p101_fclose	p101_fclose	c/stdio-streams-files
c:@F@p101_fcntl	p101_fcntl	systems/fd-io
c:@F@p101_fdim	p101_fdim	c/math-floating
c:@F@p101_fdimf	p101_fdimf	c/math-floating
c:@F@p101_fdiml	p101_fdiml	c/math-floating
c:@F@p101_fdopen	p101_fdopen	c/stdio-streams-files-extensions
c:@F@p101_fdopendir	p101_fdopendir	systems/directories-patterns
c:@F@p101_feclearexcept	p101_feclearexcept	c/floating-env
c:@F@p101_fegetenv	p101_fegetenv	c/floating-env
c:@F@p101_fegetexceptflag	p101_fegetexceptflag	c/floating-env
c:@F@p101_fegetround	p101_fegetround	c/floating-env
c:@F@p101_feholdexcept	p101_feholdexcept	c/floating-env
c:@F@p101_feof	p101_feof	c/stdio-state-buffering
c:@F@p101_feraiseexcept	p101_feraiseexcept	c/floating-env
c:@F@p101_ferror	p101_ferror	c/stdio-state-buffering
c:@F@p101_fesetenv	p101_fesetenv	c/floating-env
c:@F@p101_fesetexceptflag	p101_fesetexceptflag	c/floating-env
c:@F@p101_fesetround	p101_fesetround	c/floating-env
c:@F@p101_fetestexcept	p101_fetestexcept	c/floating-env
c:@F@p101_feupdateenv	p101_feupdateenv	c/floating-env
c:@F@p101_fflush	p101_fflush	c/stdio-state-buffering
c:@F@p101_ffs	p101_ffs	c/byte-strings-extensions
c:@F@p101_fgetc	p101_fgetc	c/stdio-character-io
c:@F@p101_fgetpos	p101_fgetpos	c/stdio-streams-files
c:@F@p101_fgets	p101_fgets	c/stdio-character-io
c:@F@p101_fgetwc	p101_fgetwc	c/wide-stdio
c:@F@p101_fgetws	p101_fgetws	c/wide-stdio
c:@F@p101_fileno	p101_fileno	c/stdio-streams-files-extensions
c:@F@p101_flockfile	p101_flockfile	c/stdio-streams-files-extensions
c:@F@p101_floor	p101_floor	c/math-rounding-remainder
c:@F@p101_floorf	p101_floorf	c/math-rounding-remainder
c:@F@p101_floorl	p101_floorl	c/math-rounding-remainder
c:@F@p101_fma	p101_fma	c/math-floating
c:@F@p101_fmaf	p101_fmaf	c/math-floating
c:@F@p101_fmal	p101_fmal	c/math-floating
c:@F@p101_fmax	p101_fmax	c/math-floating
c:@F@p101_fmaxf	p101_fmaxf	c/math-floating
c:@F@p101_fmaxl	p101_fmaxl	c/math-floating
c:@F@p101_fmemopen	p101_fmemopen	c/stdio-streams-files-extensions
c:@F@p101_fmin	p101_fmin	c/math-floating
c:@F@p101_fminf	p101_fminf	c/math-floating
c:@F@p101_fminl	p101_fminl	c/math-floating
c:@F@p101_fmod	p101_fmod	c/math-rounding-remainder
c:@F@p101_fmodf	p101_fmodf	c/math-rounding-remainder
c:@F@p101_fmodl	p101_fmodl	c/math-rounding-remainder
c:@F@p101_fmtmsg	p101_fmtmsg	systems/logging-diagnostics
c:@F@p101_fnmatch	p101_fnmatch	systems/directories-patterns
c:@F@p101_fopen	p101_fopen	c/stdio-streams-files
c:@F@p101_fork	p101_fork	systems/process-signal
c:@F@p101_fpathconf	p101_fpathconf	systems/system-configuration
c:@F@p101_fprintf	p101_fprintf	c/stdio-formatted
c:@F@p101_fpurge	p101_fpurge	c/stdio-streams-files-extensions
c:@F@p101_fputc	p101_fputc	c/stdio-character-io
c:@F@p101_fputs	p101_fputs	c/stdio-character-io
c:@F@p101_fputwc	p101_fputwc	c/wide-stdio
c:@F@p101_fputws	p101_fputws	c/wide-stdio
c:@F@p101_fread	p101_fread	c/stdio-streams-files
c:@F@p101_free	p101_free	c/stdlib
c:@F@p101_freeaddrinfo	p101_freeaddrinfo	network/name-resolution
c:@F@p101_freeifaddrs	p101_freeifaddrs	network/interfaces
c:@F@p101_freelocale	p101_freelocale	systems/localization-conversion
c:@F@p101_freopen	p101_freopen	c/stdio-streams-files
c:@F@p101_frexp	p101_frexp	c/math-rounding-remainder
c:@F@p101_frexpf	p101_frexpf	c/math-rounding-remainder
c:@F@p101_frexpl	p101_frexpl	c/math-rounding-remainder
c:@F@p101_fscanf	p101_fscanf	c/stdio-formatted
c:@F@p101_fseek	p101_fseek	c/stdio-streams-files
c:@F@p101_fseeko	p101_fseeko	c/stdio-streams-files-extensions
c:@F@p101_fsetpos	p101_fsetpos	c/stdio-streams-files
c:@F@p101_fsm_decide_exit	p101_fsm_decide_exit	support/fsm
c:@F@p101_fsm_decide_pause	p101_fsm_decide_pause	support/fsm
c:@F@p101_fsm_decide_transition	p101_fsm_decide_transition	support/fsm
c:@F@p101_fsm_effect_batch_count	p101_fsm_effect_batch_count	support/fsm
c:@F@p101_fsm_effect_batch_create	p101_fsm_effect_batch_create	support/fsm
c:@F@p101_fsm_effect_batch_destroy	p101_fsm_effect_batch_destroy	support/fsm
c:@F@p101_fsm_effect_batch_finish_step	p101_fsm_effect_batch_finish_step	support/fsm
c:@F@p101_fsm_effect_batch_sink	p101_fsm_effect_batch_sink	support/fsm
c:@F@p101_fsm_emit_effect	p101_fsm_emit_effect	support/fsm
c:@F@p101_fsm_exit_immediately	p101_fsm_exit_immediately	support/fsm
c:@F@p101_fsm_info_create	p101_fsm_info_create	support/fsm
c:@F@p101_fsm_info_default_bad_change_state_handler	p101_fsm_info_default_bad_change_state_handler	support/fsm
c:@F@p101_fsm_info_default_bad_change_state_notifier	p101_fsm_info_default_bad_change_state_notifier	support/fsm
c:@F@p101_fsm_info_default_did_change_state_notifier	p101_fsm_info_default_did_change_state_notifier	support/fsm
c:@F@p101_fsm_info_default_will_change_state_notifier	p101_fsm_info_default_will_change_state_notifier	support/fsm
c:@F@p101_fsm_info_destroy	p101_fsm_info_destroy	support/fsm
c:@F@p101_fsm_info_get_bad_change_state_handler	p101_fsm_info_get_bad_change_state_handler	support/fsm
c:@F@p101_fsm_info_get_bad_change_state_notifier	p101_fsm_info_get_bad_change_state_notifier	support/fsm
c:@F@p101_fsm_info_get_current_state	p101_fsm_info_get_current_state	support/fsm
c:@F@p101_fsm_info_get_did_change_state_notifier	p101_fsm_info_get_did_change_state_notifier	support/fsm
c:@F@p101_fsm_info_get_name	p101_fsm_info_get_name	support/fsm
c:@F@p101_fsm_info_get_step_sequence	p101_fsm_info_get_step_sequence	support/fsm
c:@F@p101_fsm_info_get_will_change_state_notifier	p101_fsm_info_get_will_change_state_notifier	support/fsm
c:@F@p101_fsm_info_is_terminal	p101_fsm_info_is_terminal	support/fsm
c:@F@p101_fsm_info_set_bad_change_state_handler	p101_fsm_info_set_bad_change_state_handler	support/fsm
c:@F@p101_fsm_info_set_bad_change_state_notifier	p101_fsm_info_set_bad_change_state_notifier	support/fsm
c:@F@p101_fsm_info_set_did_change_state_notifier	p101_fsm_info_set_did_change_state_notifier	support/fsm
c:@F@p101_fsm_info_set_step_observer	p101_fsm_info_set_step_observer	support/fsm
c:@F@p101_fsm_info_set_will_change_state_notifier	p101_fsm_info_set_will_change_state_notifier	support/fsm
c:@F@p101_fsm_run	p101_fsm_run	support/fsm
c:@F@p101_fsm_step	p101_fsm_step	support/fsm
c:@F@p101_fstat	p101_fstat	systems/filesystem-paths
c:@F@p101_fstatat	p101_fstatat	systems/filesystem-paths
c:@F@p101_fstatvfs	p101_fstatvfs	systems/filesystem-paths
c:@F@p101_ftell	p101_ftell	c/stdio-streams-files
c:@F@p101_ftello	p101_ftello	c/stdio-streams-files-extensions
c:@F@p101_ftok	p101_ftok	systems/ipc
c:@F@p101_ftruncate	p101_ftruncate	systems/fd-io
c:@F@p101_ftrylockfile	p101_ftrylockfile	c/stdio-streams-files-extensions
c:@F@p101_ftw	p101_ftw	systems/directories-patterns
c:@F@p101_funlockfile	p101_funlockfile	c/stdio-streams-files-extensions
c:@F@p101_futimens	p101_futimens	systems/filesystem-paths
c:@F@p101_fwide	p101_fwide	c/wide-strings
c:@F@p101_fwprintf	p101_fwprintf	c/wide-stdio
c:@F@p101_fwrite	p101_fwrite	c/stdio-streams-files
c:@F@p101_fwscanf	p101_fwscanf	c/wide-stdio
c:@F@p101_gai_strerror	p101_gai_strerror	network/name-resolution
c:@F@p101_getaddrinfo	p101_getaddrinfo	network/name-resolution
c:@F@p101_getc	p101_getc	c/stdio-character-io
c:@F@p101_getc_unlocked	p101_getc_unlocked	c/stdio-character-io-extensions
c:@F@p101_getchar	p101_getchar	c/stdio-character-io
c:@F@p101_getchar_unlocked	p101_getchar_unlocked	c/stdio-character-io-extensions
c:@F@p101_getcwd	p101_getcwd	systems/system-configuration
c:@F@p101_getdelim	p101_getdelim	c/stdio-streams-files-extensions
c:@F@p101_getdomainname	p101_getdomainname	systems/platform-admin
c:@F@p101_getegid	p101_getegid	systems/users-terminals
c:@F@p101_getenv	p101_getenv	c/stdlib
c:@F@p101_geteuid	p101_geteuid	systems/users-terminals
c:@F@p101_getgid	p101_getgid	systems/users-terminals
c:@F@p101_getgrgid_r	p101_getgrgid_r	systems/users-terminals
c:@F@p101_getgrnam_r	p101_getgrnam_r	systems/users-terminals
c:@F@p101_getgroups	p101_getgroups	systems/users-terminals
c:@F@p101_gethostid	p101_gethostid	systems/platform-admin
c:@F@p101_gethostname	p101_gethostname	systems/platform-admin
c:@F@p101_getifaddrs	p101_getifaddrs	network/interfaces
c:@F@p101_getline	p101_getline	c/stdio-streams-files-extensions
c:@F@p101_getloadavg	p101_getloadavg	systems/platform-admin
c:@F@p101_getlogin_r	p101_getlogin_r	systems/users-terminals
c:@F@p101_getnameinfo	p101_getnameinfo	network/name-resolution
c:@F@p101_getopt	p101_getopt	c/cli-parsing
c:@F@p101_getopt_long	p101_getopt_long	c/cli-parsing
c:@F@p101_getopt_long_only	p101_getopt_long_only	c/cli-parsing
c:@F@p101_getpeername	p101_getpeername	network/sockets
c:@F@p101_getpgid	p101_getpgid	systems/process-signal
c:@F@p101_getpgrp	p101_getpgrp	systems/process-signal
c:@F@p101_getpid	p101_getpid	systems/process-signal
c:@F@p101_getppid	p101_getppid	systems/process-signal
c:@F@p101_getpriority	p101_getpriority	systems/process-signal
c:@F@p101_getpwnam_r	p101_getpwnam_r	systems/users-terminals
c:@F@p101_getpwuid_r	p101_getpwuid_r	systems/users-terminals
c:@F@p101_getrlimit	p101_getrlimit	systems/process-signal
c:@F@p101_getrusage	p101_getrusage	systems/process-signal
c:@F@p101_getsid	p101_getsid	systems/process-signal
c:@F@p101_getsockname	p101_getsockname	network/sockets
c:@F@p101_getsockopt	p101_getsockopt	network/sockets
c:@F@p101_getsubopt	p101_getsubopt	c/cli-parsing
c:@F@p101_getuid	p101_getuid	systems/users-terminals
c:@F@p101_getusershell	p101_getusershell	systems/users-terminals
c:@F@p101_getutxent	p101_getutxent	systems/users-terminals
c:@F@p101_getutxid	p101_getutxid	systems/users-terminals
c:@F@p101_getutxline	p101_getutxline	systems/users-terminals
c:@F@p101_getwc	p101_getwc	c/wide-stdio
c:@F@p101_getwchar	p101_getwchar	c/wide-stdio
c:@F@p101_glob	p101_glob	systems/directories-patterns
c:@F@p101_globfree	p101_globfree	systems/directories-patterns
c:@F@p101_gmtime_r	p101_gmtime_r	systems/resource-time-memory
c:@F@p101_grantpt	p101_grantpt	systems/users-terminals
c:@F@p101_hcreate	p101_hcreate	systems/search-structures
c:@F@p101_hdestroy	p101_hdestroy	systems/search-structures
c:@F@p101_hsearch	p101_hsearch	systems/search-structures
c:@F@p101_htobe16	p101_htobe16	c/byte-utility
c:@F@p101_htobe32	p101_htobe32	c/byte-utility
c:@F@p101_htobe64	p101_htobe64	c/byte-utility
c:@F@p101_htole16	p101_htole16	c/byte-utility
c:@F@p101_htole32	p101_htole32	c/byte-utility
c:@F@p101_htole64	p101_htole64	c/byte-utility
c:@F@p101_htonl	p101_htonl	network/address-conversion
c:@F@p101_htons	p101_htons	network/address-conversion
c:@F@p101_hypot	p101_hypot	c/math-exp-log-power
c:@F@p101_hypotf	p101_hypotf	c/math-exp-log-power
c:@F@p101_hypotl	p101_hypotl	c/math-exp-log-power
c:@F@p101_iconv	p101_iconv	systems/localization-conversion
c:@F@p101_iconv_close	p101_iconv_close	systems/localization-conversion
c:@F@p101_iconv_open	p101_iconv_open	systems/localization-conversion
c:@F@p101_if_freenameindex	p101_if_freenameindex	network/interfaces
c:@F@p101_if_indextoname	p101_if_indextoname	network/interfaces
c:@F@p101_if_nameindex	p101_if_nameindex	network/interfaces
c:@F@p101_if_nametoindex	p101_if_nametoindex	network/interfaces
c:@F@p101_ilogb	p101_ilogb	c/math-floating
c:@F@p101_ilogbf	p101_ilogbf	c/math-floating
c:@F@p101_ilogbl	p101_ilogbl	c/math-floating
c:@F@p101_imaxabs	p101_imaxabs	c/inttypes
c:@F@p101_imaxdiv	p101_imaxdiv	c/inttypes
